LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
689.02,19.74,1,2,0,1,2,2019-08,C
1332.87,1.0,1,2,0,0,1,2019-08,B
950.0,19.0,1,2,0,0,1,2019-08,B
7086.36,21.31,5,2,0,0,1,2019-08,B
2548.28,19.2109,2,2,0,0,1,2019-08,B
840.0,1.0,1,2,0,0,1,2019-08,B
2921.9,19.2109,2,3,0,0,1,2019-08,B
740.0,1.0,1,2,0,0,1,2019-08,B
840.0,1.0,1,2,0,0,1,2019-08,B
657.8,19.4,1,1,0,0,0,2019-08,A
6210.09,1.0,3,2,0,1,2,2019-08,C
968.73,21.1822,1,1,0,0,0,2019-08,A
1984.0,18.96,2,1,0,0,0,2019-08,A
2241.96,20.31,3,1,1,1,2,2019-08,C
1130.83,16.0,1,2,0,0,1,2019-08,B
840.0,1.0,1,2,0,0,1,2019-08,B
1564.0,21.54,2,2,0,2,2,2019-08,C
7157.51,19.33,9,2,0,0,2,2019-08,C
2960.0,1.0,4,2,0,0,1,2019-08,B
4340.0,18.77,5,1,0,0,0,2019-08,A
870.0,1.0,1,2,0,0,1,2019-08,B
3506.88,20.36,3,2,0,0,1,2019-08,B
4116.0,17.0,2,2,0,0,1,2019-08,B
5173.6,18.57,1,1,0,0,1,2019-08,B
4532.64,21.31,3,2,0,0,1,2019-08,B
840.0,19.27,1,1,0,0,0,2019-08,A
4584.0,16.5,4,1,0,0,0,2019-08,A
3557.9,24.39,2,2,0,0,1,2019-08,B
1769.1,19.86,3,2,0,0,1,2019-08,B
6364.8,10.0,2,3,0,0,1,2019-08,B
990.25,19.8,1,3,0,0,1,2019-08,B
2903.26,1.0,2,2,0,0,1,2019-08,B
1475.32,19.2109,1,3,0,0,1,2019-08,B
888.93,19.53,1,1,0,0,0,2019-08,A
3692.56,19.2109,2,3,0,0,1,2019-08,B
2996.99,21.31,2,2,0,1,2,2019-08,C
1073.48,20.02,1,2,0,0,1,2019-08,B
740.0,1.0,1,2,0,0,1,2019-08,B
1000.0,1.0,1,2,0,0,1,2019-08,B
1542.24,22.16,2,2,0,0,1,2019-08,B
2038.2,18.8452,0,3,0,0,1,2019-08,B
1200.0,19.01,1,2,0,0,1,2019-08,B
2051.0,19.41,1,3,0,0,1,2019-08,B
777.75,19.9,1,1,0,0,0,2019-08,A
2681.2,19.2109,2,2,0,0,1,2019-08,B
7799.1,19.2109,3,2,0,0,1,2019-08,B
1292.54,1.0,1,2,0,0,1,2019-08,B
871.85,21.54,1,2,0,2,2,2019-08,C
978.28,19.8,1,2,0,0,1,2019-08,B
2756.08,19.86,4,2,0,0,1,2019-08,B
2550.0,1.0,3,1,0,0,0,2019-08,A
2595.91,19.18,2,3,0,0,1,2019-08,B
1888.0,18.77,1,1,0,0,0,2019-08,A
4173.36,19.98,6,1,0,0,0,2019-08,A
840.0,1.0,1,2,0,0,1,2019-08,B
1208.48,19.01,2,2,0,0,1,2019-08,B
501.6,22.78,1,2,0,1,2,2019-08,C
856.8,21.1,1,1,0,0,0,2019-08,A
840.0,1.0,1,2,0,0,1,2019-08,B
5061.76,20.08,4,2,2,0,2,2019-08,C
1580.0,19.44,1,2,0,0,1,2019-08,B
2318.25,24.39,2,1,0,0,0,2019-08,A
1071.0,19.35,1,1,0,0,0,2019-08,A
1028.0,19.38,1,1,0,0,0,2019-08,A
982.83,22.62,2,2,0,0,1,2019-08,B
7368.0,18.9,2,3,0,0,1,2019-08,B
1994.8,19.0,2,1,0,0,0,2019-08,A
1177.35,19.2109,1,2,0,0,1,2019-08,B
749.69,19.0,1,2,0,0,1,2019-08,B
1475.38,21.31,1,2,0,0,1,2019-08,B
830.0,19.0,1,4,0,0,1,2019-08,B
1003.0,1.0,1,1,0,0,0,2019-08,A
559.18,21.82,1,1,0,0,0,2019-08,A
3992.62,16.0,2,3,0,0,1,2019-08,B
2045.92,1.0,2,2,0,0,1,2019-08,B
1112.49,1.0,1,2,0,0,1,2019-08,B
6571.6,18.75,7,2,0,0,1,2019-08,B
876.21,19.33,1,2,0,2,2,2019-08,C
1017.45,20.31,1,1,0,0,0,2019-08,A
1580.0,19.2109,1,2,0,0,1,2019-08,B
1106.0,19.18,1,1,0,0,0,2019-08,A
446.23,21.6,1,2,0,1,2,2019-08,C
4222.36,1.0,2,4,0,0,1,2019-08,B
1140.02,19.2109,1,1,0,0,0,2019-08,A
731.12,19.3375,1,3,0,0,1,2019-08,B
1960.0,24.98,2,2,1,0,2,2019-08,C
1009.99,19.2109,1,2,0,0,1,2019-08,B
3262.47,21.31,1,2,0,0,1,2019-08,B
860.0,21.41,1,1,0,0,0,2019-08,A
6600.0,1.0,6,3,0,0,1,2019-08,B
997.58,19.35,1,1,0,0,0,2019-08,A
1112.65,20.39,1,1,0,0,0,2019-08,A
812.5,19.41,1,1,0,0,0,2019-08,A
591.48,19.0,1,1,0,0,0,2019-08,A
3772.8,20.0,2,2,0,0,1,2019-08,B
1144.65,19.2109,1,3,0,0,1,2019-08,B
1166.2,22.54,1,1,0,0,0,2019-08,A
3664.66,21.31,3,1,0,0,0,2019-08,A
4671.94,21.79,3,3,0,0,1,2019-08,B
831.69,19.86,1,2,0,0,1,2019-08,B
3172.64,18.0,4,1,0,0,0,2019-08,A
1354.88,19.33,2,2,0,0,1,2019-08,B
3665.2,19.2109,2,3,0,0,1,2019-08,B
1218.56,20.86,1,4,0,0,1,2019-08,B
1352.59,1.0,1,1,0,0,0,2019-08,A
1500.7,18.08,2,2,0,0,1,2019-08,B
1134.87,19.2109,1,1,0,0,0,2019-08,A
2406.0,19.01,2,3,1,0,2,2019-08,C
999.6,19.54,1,1,0,0,0,2019-08,A
1441.08,19.24,2,1,3,3,2,2019-08,C
1089.6,1.0,1,1,0,0,0,2019-08,A
1050.0,1.0,1,1,0,0,0,2019-08,A
957.95,19.18,1,1,0,0,0,2019-08,A
629.0,20.86,1,1,0,0,0,2019-08,A
1800.0,19.2109,1,1,0,0,0,2019-08,A
910.1,19.2109,1,1,0,0,0,2019-08,A
1997.78,18.97,2,2,0,0,1,2019-08,B
781.0,22.82,1,1,0,0,0,2019-08,A
1990.0,19.0,1,3,1,0,2,2019-08,C
4158.96,1.0,4,1,0,0,0,2019-08,A
702.0,19.0,1,3,0,0,1,2019-08,B
1227.02,22.8,2,2,0,0,1,2019-08,B
1168.0,19.86,1,2,0,0,1,2019-08,B
1348.0,19.0,1,1,0,0,0,2019-08,A
2894.0,19.0,2,2,0,0,1,2019-08,B
